title,description,country,city,date,severity,impact,latitude,longitude,type
"Demonstration in Islamabad for Education Reform","Educators and students took to the streets of Islamabad to demand reforms in the education sector, including better funding and updated curricula to meet modern standards.","Pakistan","Islamabad","2024-10-10","medium","Public gatherings and minor disruptions.",33.6844,73.0479,"Demonstration/Riot"
"Terrorist Attack on Military Base in Ghazni","A militant group launched an attack on a military base in Ghazni, resulting in fierce clashes with security forces. Several soldiers were injured, and the base sustained damage from the assault.","Afghanistan","Ghazni","2024-07-20","high","Military casualties and infrastructure damage.",33.5299,68.4204,"Terrorist Attack"
"Floods in Swat Valley After Monsoon Rains","Intense monsoon rains caused widespread flooding in the Swat Valley, displacing thousands of residents and damaging agricultural lands. Relief efforts are underway to provide shelter and supplies.","Pakistan","Swat","2024-09-18","high","Displacement and agricultural losses.",34.7704,72.3656,"Natural Disaster"
"Protest in Kabul Against Foreign Intervention","A large group of citizens in Kabul organized a protest against perceived foreign intervention in Afghan affairs, calling for national sovereignty and self-determination.","Afghanistan","Kabul","2024-09-05","medium","Public gatherings and increased police presence.",34.5553,69.2075,"Demonstration/Riot"
"Bomb Explosion in Quetta Residential Area","A bomb exploded in a residential neighborhood in Quetta during the night, causing panic and several casualties. Authorities are investigating the motive behind the attack.","Pakistan","Quetta","2024-10-08","high","Casualties and residential damage.",30.1798,66.9750,"Terrorist Attack"
"Earthquake in Mardan District","A seismic event with a magnitude of 5.0 shook the Mardan District, leading to minor structural damages and some injuries. Emergency services responded swiftly to assess the impact.","Pakistan","Mardan","2024-07-25","medium","Minor building damages and injuries.",34.2000,72.0440,"Natural Disaster"
"Demonstration in Peshawar for Labor Rights","Workers in Peshawar staged a demonstration advocating for better labor rights, including fair wages and safer working conditions. The protest was largely peaceful with strong community support.","Pakistan","Peshawar","2024-08-30","medium","Public gatherings and minor road disruptions.",34.0151,71.5249,"Demonstration/Riot"
"Bus Crash in Jalalabad","A bus traveling through Jalalabad lost control on a winding road and overturned, resulting in multiple injuries and fatalities. Rescue teams are working to assist the victims.","Afghanistan","Jalalabad","2024-09-22","high","Multiple injuries and fatalities.",34.4319,70.4471,"Transport Accident"
"Flooding in Lahore Due to River Overflow","The Ravi River overflowed its banks in Lahore after continuous heavy rains, leading to significant flooding in several neighborhoods. Evacuation orders have been issued for the most affected areas.","Pakistan","Lahore","2024-08-15","high","Flooded areas and property damage.",31.5204,74.3587,"Natural Disaster"
"Protest in Kandahar Against Water Shortage","Residents of Kandahar protested against the ongoing water shortages, demanding immediate action from the authorities to improve water supply and infrastructure.","Afghanistan","Kandahar","2024-07-28","medium","Public demonstrations and minor disruptions.",31.6289,65.7372,"Demonstration/Riot"
"Explosion in Karachi Port","An explosion occurred at the Karachi Port, causing extensive damage to cargo facilities and disrupting shipping operations. Initial reports suggest a possible sabotage act.","Pakistan","Karachi","2024-09-30","high","Infrastructure damage and operational disruptions.",24.8607,67.0011,"Terrorist Attack"
"Earthquake in Herat Province","A significant earthquake with a magnitude of 5.3 hit Herat Province, leading to the collapse of several homes and injuring many residents. Rescue operations are underway to help those trapped.","Afghanistan","Herat","2024-08-12","high","Building collapses and numerous injuries.",34.3317,62.1699,"Natural Disaster"
"Demonstration in Lahore for Political Reform","Supporters of political reform gathered in Lahore to demand changes in the governmental structure, advocating for more transparent and accountable leadership.","Pakistan","Lahore","2024-10-11","medium","Public gatherings and increased police presence.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Attack on School in Quetta","A bomb was detonated near a school in Quetta during school hours, causing chaos and resulting in several casualties among students and staff.","Pakistan","Quetta","2024-09-08","high","Casualties and educational disruption.",30.1798,66.9750,"Terrorist Attack"
"Flooding in Mardan After Heavy Monsoon","Heavy monsoon rains caused severe flooding in Mardan, submerging roads and homes, and disrupting daily activities. Rescue teams are providing assistance to affected families.","Pakistan","Mardan","2024-08-20","high","Displacement and infrastructure damage.",34.2000,72.0440,"Natural Disaster"
"Protest in Islamabad for Women's Rights","Activists in Islamabad organized a demonstration advocating for women's rights, including equal opportunities and protection against violence.","Pakistan","Islamabad","2024-09-18","medium","Public gatherings and minor road disruptions.",33.6844,73.0479,"Demonstration/Riot"
"Earthquake in Kabul Suburbs","A minor earthquake with a magnitude of 4.8 shook the suburbs of Kabul, causing minor damages to buildings and temporary power outages.","Afghanistan","Kabul","2024-07-19","low","Minor structural damages and power outages.",34.5553,69.2075,"Natural Disaster"
"Demonstration in Quetta Against Unemployment","Unemployed youth in Quetta staged a protest demanding job opportunities and government support to alleviate unemployment rates.","Pakistan","Quetta","2024-08-27","medium","Public demonstrations and minor disruptions.",30.1798,66.9750,"Demonstration/Riot"
"Bombing in Jalalabad Market","A bomb exploded in a busy market in Jalalabad, causing multiple casualties and significant damage to surrounding shops and stalls.","Afghanistan","Jalalabad","2024-09-14","high","Casualties and market destruction.",34.4319,70.4471,"Terrorist Attack"
"Floods in Peshawar Due to River Burst","The Kabul River in Peshawar burst its banks after continuous rainfall, leading to severe flooding in residential and commercial areas.","Pakistan","Peshawar","2024-08-25","high","Flooded areas and property damage.",34.0151,71.5249,"Natural Disaster"
"Protest in Herat Against Healthcare Cuts","Healthcare professionals in Herat protested against recent government cuts to the healthcare sector, demanding increased funding and resources.","Afghanistan","Herat","2024-10-07","medium","Public gatherings and increased security presence.",34.3317,62.1699,"Demonstration/Riot"
"Bus Accident in Lahore Expressway","A bus collided with a tanker on the Lahore Expressway, resulting in several fatalities and injuries. Traffic was heavily impacted as emergency services attended to the scene.","Pakistan","Lahore","2024-09-05","high","Multiple casualties and traffic disruptions.",31.5204,74.3587,"Transport Accident"
"Earthquake in Kandahar Province","A minor earthquake with a magnitude of 4.7 was felt in Kandahar Province, causing slight tremors and minor structural damages to buildings.","Afghanistan","Kandahar","2024-07-22","low","Minor structural damages and temporary disturbances.",31.6289,65.7372,"Natural Disaster"
"Demonstration in Mardan for Educational Access","Students and educators in Mardan protested to demand better access to education, including improved facilities and reduced tuition fees.","Pakistan","Mardan","2024-08-18","medium","Public demonstrations and minor road blockages.",34.2000,72.0440,"Demonstration/Riot"
"Bomb Explosion in Herat University","A bomb exploded near Herat University during class hours, causing panic and resulting in several injuries among students and faculty.","Afghanistan","Herat","2024-09-20","high","Casualties and educational disruption.",34.3317,62.1699,"Terrorist Attack"
"Flooding in Quetta After Heavy Rains","Heavy rains led to severe flooding in Quetta, affecting residential areas and disrupting daily activities. Authorities have initiated relief measures to assist those impacted.","Pakistan","Quetta","2024-08-30","high","Flooded areas and infrastructure damage.",30.1798,66.9750,"Natural Disaster"
"Protest in Peshawar Against Tax Increases","Citizens in Peshawar organized a protest against recent tax increases, demanding the government reconsider its fiscal policies.","Pakistan","Peshawar","2024-09-25","medium","Public gatherings and minor disruptions.",34.0151,71.5249,"Demonstration/Riot"
"Earthquake in Jalalabad Region","A moderate earthquake with a magnitude of 5.1 struck the Jalalabad region, leading to building damages and several injuries. Rescue teams are actively searching for those trapped under debris.","Afghanistan","Jalalabad","2024-08-08","high","Building collapses and injuries.",34.4319,70.4471,"Natural Disaster"
"Demonstration in Islamabad for Environmental Protection","Environmental activists in Islamabad held a demonstration to raise awareness about pollution and to demand stricter environmental regulations from the government.","Pakistan","Islamabad","2024-10-12","medium","Public gatherings and peaceful protests.",33.6844,73.0479,"Demonstration/Riot"
"Bus Accident in Quetta Highway","A bus overturned on the Quetta Highway after skidding on a wet road, resulting in multiple injuries and fatalities. Emergency services are providing aid to the affected passengers.","Pakistan","Quetta","2024-09-16","high","Multiple injuries and fatalities.",30.1798,66.9750,"Transport Accident"
"Flooding in Kabul Due to River Overflow","The Kabul River overflowed after continuous heavy rains, causing severe flooding in nearby residential areas and displacing many families.","Afghanistan","Kabul","2024-08-28","high","Flooded areas and displacement of residents.",34.5553,69.2075,"Natural Disaster"
"Protest in Herat Against Unemployment","Unemployed youth in Herat organized a protest to demand job opportunities and government support to tackle the rising unemployment rates.","Afghanistan","Herat","2024-07-29","medium","Public demonstrations and minor road disruptions.",34.3317,62.1699,"Demonstration/Riot"
"Bombing in Mardan Shopping Mall","A bomb detonated in a crowded shopping mall in Mardan during peak hours, resulting in numerous casualties and extensive damage to the facility.","Pakistan","Mardan","2024-09-12","high","Mass casualties and property damage.",34.2000,72.0440,"Terrorist Attack"
"Earthquake in Peshawar District","A small earthquake with a magnitude of 4.6 was felt across Peshawar District, causing minor tremors and slight damages to buildings.","Pakistan","Peshawar","2024-07-17","low","Minor structural damages and temporary disturbances.",34.0151,71.5249,"Natural Disaster"
"Demonstration in Lahore for Healthcare Reform","Healthcare professionals in Lahore staged a demonstration advocating for better healthcare facilities and increased funding for medical services.","Pakistan","Lahore","2024-08-05","medium","Public gatherings and minor road blockages.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Kandahar Hospital","A bomb exploded near a hospital in Kandahar, causing chaos and resulting in several injuries among patients and staff.","Afghanistan","Kandahar","2024-09-09","high","Casualties and healthcare disruption.",31.6289,65.7372,"Terrorist Attack"
"Flooding in Swat District After Heavy Rains","Heavy rainfall led to severe flooding in Swat District, submerging roads and homes, and disrupting transportation and daily activities.","Pakistan","Swat","2024-08-14","high","Flooded areas and infrastructure damage.",34.7704,72.3656,"Natural Disaster"
"Protest in Islamabad Against Police Brutality","Citizens in Islamabad organized a protest against alleged police brutality, calling for accountability and reforms within the law enforcement agencies.","Pakistan","Islamabad","2024-10-09","medium","Public gatherings and increased police presence.",33.6844,73.0479,"Demonstration/Riot"
"Earthquake in Quetta Region","A seismic event with a magnitude of 5.0 struck the Quetta region, causing minor structural damages and slight injuries to residents.","Pakistan","Quetta","2024-07-23","low","Minor structural damages and temporary power outages.",30.1798,66.9750,"Natural Disaster"
"Demonstration in Herat for Economic Relief","Residents of Herat held a demonstration demanding economic relief measures to combat rising inflation and unemployment rates.","Afghanistan","Herat","2024-08-22","medium","Public demonstrations and minor disruptions.",34.3317,62.1699,"Demonstration/Riot"
"Bus Accident in Islamabad Highway","A bus collided with a truck on the Islamabad Highway, resulting in several fatalities and injuries. Traffic was heavily impacted as emergency services attended to the scene.","Pakistan","Islamabad","2024-09-19","high","Multiple fatalities and severe injuries.",33.6844,73.0479,"Transport Accident"
"Flooding in Jalalabad Due to River Burst","The Kabul River near Jalalabad burst its banks after continuous heavy rainfall, causing severe flooding in adjacent areas and displacing numerous families.","Afghanistan","Jalalabad","2024-08-26","high","Flooded areas and displacement of residents.",34.4319,70.4471,"Natural Disaster"
"Protest in Mardan Against Education Cuts","Students and educators in Mardan protested against recent cuts in education funding, demanding better resources and support for schools.","Pakistan","Mardan","2024-10-13","medium","Public demonstrations and minor road disruptions.",34.2000,72.0440,"Demonstration/Riot"
"Bombing in Herat Central Square","A bomb exploded in the central square of Herat during a public event, causing widespread panic and resulting in numerous casualties among attendees.","Afghanistan","Herat","2024-09-07","high","Mass casualties and public event disruption.",34.3317,62.1699,"Terrorist Attack"
"Earthquake in Peshawar Suburbs","A minor earthquake with a magnitude of 4.5 was felt in the suburbs of Peshawar, leading to slight tremors and minor structural damages.","Pakistan","Peshawar","2024-07-16","low","Minor structural damages and temporary disturbances.",34.0151,71.5249,"Natural Disaster"
"Demonstration in Lahore for Labor Rights","Workers in Lahore organized a demonstration to demand better labor rights, including fair wages and safer working conditions.","Pakistan","Lahore","2024-08-12","medium","Public demonstrations and minor road blockages.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Swat Valley Hotel","A bomb detonated in a hotel located in Swat Valley, targeting both local residents and tourists, resulting in multiple casualties and significant property damage.","Pakistan","Swat","2024-09-24","high","Casualties and hotel destruction.",34.7704,72.3656,"Terrorist Attack"
"Flooding in Kabul Urban Areas","Intense rainfall caused severe flooding in urban areas of Kabul, leading to submerged streets and damaged infrastructure. Emergency services are providing aid to affected residents.","Afghanistan","Kabul","2024-08-19","high","Flooded areas and infrastructure damage.",34.5553,69.2075,"Natural Disaster"
"Protest in Quetta Against Housing Policies","Citizens in Quetta held a protest against recent housing policies, demanding affordable housing and better urban planning from the authorities.","Pakistan","Quetta","2024-10-04","medium","Public gatherings and minor road disruptions.",30.1798,66.9750,"Demonstration/Riot"
"Earthquake in Herat Urban Area","A small earthquake with a magnitude of 4.6 struck the urban area of Herat, causing minor structural damages and temporary power outages.","Afghanistan","Herat","2024-07-21","low","Minor structural damages and temporary power outages.",34.3317,62.1699,"Natural Disaster"
"Demonstration in Islamabad for Tax Reforms","Citizens in Islamabad organized a demonstration to demand comprehensive tax reforms, aiming for a more equitable taxation system.","Pakistan","Islamabad","2024-08-10","medium","Public gatherings and minor road blockages.",33.6844,73.0479,"Demonstration/Riot"
"Bus Accident in Mardan Expressway","A bus overturned on the Mardan Expressway after losing control on a sharp turn, resulting in several injuries and fatalities.","Pakistan","Mardan","2024-09-02","high","Multiple fatalities and severe injuries.",34.2000,72.0440,"Transport Accident"
"Flooding in Kandahar Due to River Overflow","The Arghandab River overflowed in Kandahar after prolonged rainfall, causing extensive flooding in nearby residential and commercial areas.","Afghanistan","Kandahar","2024-08-05","high","Flooded areas and displacement of residents.",31.6289,65.7372,"Natural Disaster"
"Protest in Swat Valley Against Mining Activities","Local communities in Swat Valley protested against unauthorized mining activities, expressing concerns over environmental degradation and resource exploitation.","Pakistan","Swat","2024-10-03","medium","Public demonstrations and minor road blockages.",34.7704,72.3656,"Demonstration/Riot"
"Bombing in Islamabad Financial District","A bomb exploded in the financial district of Islamabad during peak business hours, causing chaos and resulting in numerous casualties among professionals and visitors.","Pakistan","Islamabad","2024-09-20","high","Mass casualties and financial district disruption.",33.6844,73.0479,"Terrorist Attack"
"Earthquake in Jalalabad City Center","A moderate earthquake with a magnitude of 5.0 struck the city center of Jalalabad, leading to building damages and several injuries among residents.","Afghanistan","Jalalabad","2024-07-24","high","Building collapses and injuries.",34.4319,70.4471,"Natural Disaster"
"Demonstration in Lahore for Public Transport Improvements","Citizens in Lahore organized a demonstration advocating for improvements in public transportation, including more buses and better infrastructure.","Pakistan","Lahore","2024-08-08","medium","Public gatherings and minor traffic disruptions.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Herat Shopping Area","A bomb detonated in a busy shopping area of Herat during the weekend, causing multiple casualties and significant property damage.","Afghanistan","Herat","2024-09-17","high","Casualties and shopping area destruction.",34.3317,62.1699,"Terrorist Attack"
"Flooding in Quetta Industrial Zone","Severe flooding affected the industrial zone of Quetta after heavy rains, disrupting manufacturing operations and damaging equipment.","Pakistan","Quetta","2024-08-23","high","Industrial disruption and property damage.",30.1798,66.9750,"Natural Disaster"
"Protest in Mardan Against Political Policies","Residents of Mardan organized a protest to oppose recent political policies, demanding more inclusive and representative governance.","Pakistan","Mardan","2024-10-06","medium","Public demonstrations and minor road disruptions.",34.2000,72.0440,"Demonstration/Riot"
"Earthquake in Swat District","A minor earthquake with a magnitude of 4.4 was felt in Swat District, causing slight tremors and minor structural damages to buildings.","Pakistan","Swat","2024-07-18","low","Minor structural damages and temporary disturbances.",34.7704,72.3656,"Natural Disaster"
"Demonstration in Islamabad for Digital Rights","Activists in Islamabad held a demonstration advocating for digital rights and opposing government surveillance measures.","Pakistan","Islamabad","2024-08-19","medium","Public gatherings and peaceful protests.",33.6844,73.0479,"Demonstration/Riot"
"Bus Accident in Karachi Urban Area","A bus collided with a motorcycle in a busy urban area of Karachi, resulting in multiple injuries and traffic chaos.","Pakistan","Karachi","2024-09-07","high","Multiple injuries and traffic disruptions.",24.8607,67.0011,"Transport Accident"
"Flooding in Herat After Heavy Monsoon","Heavy monsoon rains caused severe flooding in Herat, submerging roads and homes, and disrupting daily life.","Afghanistan","Herat","2024-08-29","high","Flooded areas and infrastructure damage.",34.3317,62.1699,"Natural Disaster"
"Protest in Quetta Against Water Supply Issues","Citizens in Quetta organized a protest to demand improvements in the water supply system and better management of water resources.","Pakistan","Quetta","2024-10-10","medium","Public demonstrations and minor road disruptions.",30.1798,66.9750,"Demonstration/Riot"
"Bombing in Mardan Central Market","A bomb exploded in the central market of Mardan during the afternoon rush, causing chaos and resulting in several casualties among shoppers.","Pakistan","Mardan","2024-09-10","high","Casualties and market destruction.",34.2000,72.0440,"Terrorist Attack"
"Earthquake in Peshawar Industrial Area","A seismic event with a magnitude of 5.2 shook the industrial area of Peshawar, leading to structural damages and injuries among workers.","Pakistan","Peshawar","2024-07-26","high","Building collapses and worker injuries.",34.0151,71.5249,"Natural Disaster"
"Demonstration in Lahore for Housing Rights","Residents in Lahore organized a demonstration to demand affordable housing and better living conditions in their neighborhoods.","Pakistan","Lahore","2024-08-14","medium","Public demonstrations and minor road disruptions.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Islamabad University","A bomb detonated near Islamabad University during class hours, causing panic and resulting in several injuries among students and faculty.","Pakistan","Islamabad","2024-09-21","high","Casualties and educational disruption.",33.6844,73.0479,"Terrorist Attack"
"Flooding in Jalalabad Industrial Zone","Heavy rains led to severe flooding in the industrial zone of Jalalabad, disrupting manufacturing operations and damaging equipment.","Afghanistan","Jalalabad","2024-08-16","high","Industrial disruption and property damage.",34.4319,70.4471,"Natural Disaster"
"Protest in Swat Valley Against Education Cuts","Students in Swat Valley organized a protest to oppose recent cuts in education funding, demanding better resources and support for schools.","Pakistan","Swat","2024-10-01","medium","Public demonstrations and minor road disruptions.",34.7704,72.3656,"Demonstration/Riot"
"Earthquake in Karachi Coastal Area","A minor earthquake with a magnitude of 4.3 was felt in the coastal area of Karachi, causing slight tremors and minor structural damages.","Pakistan","Karachi","2024-07-19","low","Minor structural damages and temporary disturbances.",24.8607,67.0011,"Natural Disaster"
"Demonstration in Herat for Healthcare Funding","Healthcare workers in Herat held a demonstration demanding increased funding and better facilities for hospitals and clinics.","Afghanistan","Herat","2024-08-27","medium","Public gatherings and minor disruptions.",34.3317,62.1699,"Demonstration/Riot"
"Bus Accident in Swat Highway","A bus overturned on the Swat Highway after losing control on a sharp bend, resulting in several injuries and fatalities.","Pakistan","Swat","2024-09-15","high","Multiple fatalities and severe injuries.",34.7704,72.3656,"Transport Accident"
"Flooding in Quetta Residential Areas","Severe flooding affected residential areas in Quetta after continuous heavy rainfall, leading to submerged homes and disrupted utilities.","Pakistan","Quetta","2024-08-21","high","Flooded homes and infrastructure damage.",30.1798,66.9750,"Natural Disaster"
"Protest in Islamabad Against Education Reforms","Educators and students in Islamabad organized a protest opposing recent education reforms, arguing that the changes undermine educational quality.","Pakistan","Islamabad","2024-10-11","medium","Public demonstrations and minor road disruptions.",33.6844,73.0479,"Demonstration/Riot"
"Bombing in Peshawar Railway Station","A bomb exploded at the Peshawar Railway Station during peak hours, causing chaos and resulting in numerous casualties among travelers.","Pakistan","Peshawar","2024-09-18","high","Mass casualties and transportation disruption.",34.0151,71.5249,"Terrorist Attack"
"Earthquake in Mardan City Center","A moderate earthquake with a magnitude of 5.1 struck the city center of Mardan, leading to building damages and several injuries among residents.","Pakistan","Mardan","2024-07-27","high","Building collapses and injuries.",34.2000,72.0440,"Natural Disaster"
"Demonstration in Lahore Against Fuel Shortages","Citizens in Lahore organized a demonstration to protest against fuel shortages and demand efficient distribution from the government.","Pakistan","Lahore","2024-08-19","medium","Public demonstrations and minor road disruptions.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Swat Valley Tourist Area","A bomb detonated in a popular tourist area of Swat Valley, causing panic and resulting in several casualties among visitors.","Pakistan","Swat","2024-09-23","high","Casualties and tourism disruption.",34.7704,72.3656,"Terrorist Attack"
"Flooding in Herat Urban Neighborhoods","Intense rainfall led to severe flooding in urban neighborhoods of Herat, submerging streets and homes and disrupting daily activities.","Afghanistan","Herat","2024-08-24","high","Flooded areas and infrastructure damage.",34.3317,62.1699,"Natural Disaster"
"Protest in Quetta for Labor Rights","Workers in Quetta organized a protest demanding better labor rights, including fair wages and safer working conditions.","Pakistan","Quetta","2024-10-07","medium","Public demonstrations and minor road disruptions.",30.1798,66.9750,"Demonstration/Riot"
"Earthquake in Islamabad Suburbs","A minor earthquake with a magnitude of 4.2 was felt in the suburbs of Islamabad, causing slight tremors and minor structural damages.","Pakistan","Islamabad","2024-07-20","low","Minor structural damages and temporary disturbances.",33.6844,73.0479,"Natural Disaster"
"Demonstration in Peshawar for Water Rights","Residents in Peshawar organized a demonstration to demand better water management and equitable distribution of water resources.","Pakistan","Peshawar","2024-08-16","medium","Public gatherings and minor road disruptions.",34.0151,71.5249,"Demonstration/Riot"
"Bomb Explosion in Lahore Industrial Area","A bomb detonated in an industrial area of Lahore, targeting factories and causing extensive damage to machinery and infrastructure.","Pakistan","Lahore","2024-09-11","high","Industrial disruption and property damage.",31.5204,74.3587,"Terrorist Attack"
"Flooding in Kabul Rural Areas","Prolonged heavy rains caused severe flooding in rural areas surrounding Kabul, leading to submerged farmland and damaged homes.","Afghanistan","Kabul","2024-08-30","high","Flooded farmland and residential damage.",34.5553,69.2075,"Natural Disaster"
"Protest in Mardan Against Police Corruption","Citizens in Mardan organized a protest to highlight issues of police corruption and demand accountability and reforms within the police force.","Pakistan","Mardan","2024-10-12","medium","Public demonstrations and increased police presence.",34.2000,72.0440,"Demonstration/Riot"
"Earthquake in Swat Valley Residential Area","A minor earthquake with a magnitude of 4.5 was felt in a residential area of Swat Valley, causing slight tremors and minor structural damages.","Pakistan","Swat","2024-07-22","low","Minor structural damages and temporary disturbances.",34.7704,72.3656,"Natural Disaster"
"Demonstration in Herat for Anti-Corruption","Anti-corruption activists in Herat held a demonstration demanding the elimination of corrupt practices within the government and public institutions.","Afghanistan","Herat","2024-08-28","medium","Public demonstrations and minor road disruptions.",34.3317,62.1699,"Demonstration/Riot"
"Bus Accident in Karachi Expressway","A bus collided with a van on the Karachi Expressway, resulting in multiple injuries and fatalities. Traffic was heavily impacted as emergency services attended to the scene.","Pakistan","Karachi","2024-09-04","high","Multiple fatalities and severe injuries.",24.8607,67.0011,"Transport Accident"
"Flooding in Jalalabad Residential Areas","Severe flooding affected residential areas in Jalalabad after continuous heavy rainfall, leading to submerged homes and disrupted utilities.","Afghanistan","Jalalabad","2024-08-31","high","Flooded homes and infrastructure damage.",34.4319,70.4471,"Natural Disaster"
"Protest in Lahore for Electoral Reforms","Citizens in Lahore organized a protest advocating for comprehensive electoral reforms to ensure fair and transparent elections.","Pakistan","Lahore","2024-10-09","medium","Public demonstrations and minor road disruptions.",31.5204,74.3587,"Demonstration/Riot"
"Bomb Explosion in Swat Valley Government Building","A bomb detonated near a government building in Swat Valley, causing chaos and resulting in several casualties among officials and bystanders.","Pakistan","Swat","2024-09-19","high","Casualties and government building disruption.",34.7704,72.3656,"Terrorist Attack"
"Earthquake in Quetta Residential Area","A minor earthquake with a magnitude of 4.1 was felt in a residential area of Quetta, causing slight tremors and minor structural damages.","Pakistan","Quetta","2024-07-25","low","Minor structural damages and temporary disturbances.",30.1798,66.9750,"Natural Disaster"
"Demonstration in Islamabad for Digital Privacy","Activists in Islamabad held a demonstration advocating for digital privacy rights and opposing government surveillance measures.","Pakistan","Islamabad","2024-08-24","medium","Public gatherings and peaceful protests.",33.6844,73.0479,"Demonstration/Riot"
"Bus Accident in Swat Highway","A bus overturned on the Swat Highway after losing control on a sharp bend, resulting in several injuries and fatalities.","Pakistan","Swat","2024-09-15","high","Multiple fatalities and severe injuries.",34.7704,72.3656,"Transport Accident"
"Flooding in Peshawar Commercial Area","Intense rainfall caused severe flooding in the commercial area of Peshawar, leading to submerged shops and disrupted business operations.","Pakistan","Peshawar","2024-08-22","high","Flooded commercial areas and business disruptions.",34.0151,71.5249,"Natural Disaster"
"Protest in Herat Against Fuel Shortages","Residents in Herat organized a protest to demand efficient fuel distribution and to address the ongoing fuel shortages affecting daily life.","Afghanistan","Herat","2024-10-08","medium","Public demonstrations and minor road disruptions.",34.3317,62.1699,"Demonstration/Riot"
"Earthquake in Lahore Suburbs","A minor earthquake with a magnitude of 4.0 was felt in the suburbs of Lahore, causing slight tremors and minor structural damages.","Pakistan","Lahore","2024-07-19","low","Minor structural damages and temporary disturbances.",31.5204,74.3587,"Natural Disaster"
"Demonstration in Quetta for Labor Rights","Workers in Quetta organized a demonstration demanding better labor rights, including fair wages and safer working conditions.","Pakistan","Quetta","2024-08-18","medium","Public demonstrations and minor road disruptions.",30.1798,66.9750,"Demonstration/Riot"
"Tsunami Warning Issued for Pacific Coast","A significant tsunami warning was issued along the Pacific Coast following a powerful undersea earthquake. Coastal communities were evacuated as emergency services prepared for potential impacts.","United States","San Francisco","2024-10-10","high","Evacuations and potential property damage.",37.7749,-122.4194,"Natural Disaster"
"Mass Protest in Paris Over Pension Reforms","Thousands of demonstrators gathered in Paris to protest the government's proposed pension reforms, demanding higher retirement ages and better benefits. The protest remained largely peaceful despite some clashes with police.","France","Paris","2024-09-22","medium","Public gatherings and traffic disruptions.",48.8566,2.3522,"Demonstration/Riot"
